Audio_File|Original_Transcription|Synthesized_Transcription|CER|WER|UTMOS_Original|UTMOS_Synthesized|Log_F0_RMSE|MCD|Speaker_Cosine_Similarity
sgs_rnd1_001.wav| De asemenea, contează și dacă imobilul este la stradă sau nu.| De asemenea, contează și dacă imobilul este la stradă sau nu.|0.0|0.0|3.1248843669891357|1.2354220151901245|0.5212857839759115|3.883764569224846|0.766084
sgs_rnd1_002.wav| Până în prezent, proiectul avea susținere a ambelor partide care și-au împărțit deja conducerea noilor entități.| În present, proiectul avea susinere a ambelor partile care și-au împărțit deja conducerea noilor entități.|0.07339449541284404|0.25|2.6561999320983887|1.228898048400879|0.5439093422342012|4.255509536519034|0.7882287
sgs_rnd1_003.wav| Băimăreanu-l urește lipsa de punctualitate și fățărnicia.| Băi, Mărea Nurgurește, lipsă de punctualitate și fățărnicia.|0.09090909090909091|0.5714285714285714|2.744490385055542|1.2838523387908936|0.5818467909776125|3.7988944742296327|0.85782415
sgs_rnd1_004.wav| În acest cămin au prioritate studenții în an terminal.| În acest camin au prioritate studenții în an terminal.|0.018867924528301886|0.1111111111111111|3.0243260860443115|1.2504264116287231|0.6085099820951881|4.15727398421513|0.786767
sgs_rnd1_005.wav| Dincolo de efectele economice și comerciale, greva ne face să avem și lipsă de încredere în justiție.| din coro de efectele economice și comerciale, greva ne face să avem și lips de încredere în justiție.|0.030303030303030304|0.17647058823529413|2.725346803665161|1.2300658226013184|0.6107281139275896|4.147915384261345|0.82896066
sgs_rnd1_006.wav| Dacă vecinii nu reclamă, noi nu putem depista spargerile de pereți ilegale din apartamente.| Dacă vecinii nu reclamă, noi nu putem depista spargerile de pereți ilegale din apartamente.|0.0|0.0|2.817173719406128|1.2300348281860352|0.6251986254654273|4.014255812358555|0.80253613
sgs_rnd1_007.wav| Amploarea nu va fi aceeași, dar organizatorii se vor strădui să aducă produse autentic germane la polele tâmpei.| Amplioarea nu va fi aceeași, dar organizatorii se vor strădui să aducă produse autentic germane la poalele tâmpei.|0.01818181818181818|0.1111111111111111|3.1852848529815674|1.2298359870910645|0.49437000976209033|3.8335006519554238|0.7942538
sgs_rnd1_008.wav|""" Vreau să continu în acest domeniu până la sfârșitul vieții"""", spune cu o mină foarte serioasă micuță."""|""" Vreau să continuăm în acest domeniu până la sfășitul vieții"""", spune cu o mină foarte seriosă micuța."""|0.061855670103092786|0.23529411764705882|2.6529629230499268|1.2615360021591187|0.5872048640934406|3.594266565030377|0.8468405
sgs_rnd1_009.wav| Căzăturile sunt la ordine a zilei, am picioarele negre, sunt ca un dalmațian.| Casaturile sunt la ordinea zilei, am picioarele negre, sunt ca un dalmatian.|0.06756756756756757|0.3076923076923077|3.105140209197998|1.2378602027893066|0.5481747406223101|3.820776342916809|0.78622705
sgs_rnd1_010.wav| pe de altă parte, conform rezultatelor obținute.| de altă parte conform rezultatelor obținute.|0.06521739130434782|0.14285714285714285|2.7034189701080322|1.2526458501815796|0.44809633601501914|3.364346984165951|0.8504119
sgs_rnd1_011.wav| nu este însă la fel de clar cu cât ar crește consumul și dependența de droguri.| Nu este, însă, la fel declar cu cătăr crește consumul și dependența de droguri.|0.05128205128205128|0.25|2.5076377391815186|1.2377991676330566|0.5718300032270554|3.814131047302257|0.8031369
sgs_rnd1_012.wav| Departajarea se face pe probe de 50 de metri care trebuiesc parcurse in 10 secunde.| de partajarea se face pe probe de 50 de metri care trebuiesc parcurse in 10 secunde.|0.012195121951219513|0.13333333333333333|2.8852765560150146|1.2298799753189087|0.5110857014324772|3.728999543064068|0.78930634
sgs_rnd1_013.wav| o păstrez ca amintirele loc de cinste amintește informaticianul.| păstrez ca amintirele loc de cinstel și crește informaticianul.|0.12698412698412698|0.4444444444444444|3.021207094192505|1.230010747909546|0.47919604016178025|4.282054511059123|0.7583172
